imprimir, tiskati
poder, moći
cepillar, četkati
venir, doći
enseñar, poučavati
hackear, hakirati
servir, služiti
enfadarse, ljutiti se
odiar, mrziti
despertarse, probuditi se
intentar, pokušati
ordenar, naručiti
liberar, osloboditi
diseñar, dizajnirati
golpear, udariti
cerrar, zatvoriti
concentrarse, koncentrirati se
averiguar, saznati
enfrentar, suočiti se
demostrar, dokazati
empacar, pakirati
lastimarse, ozlijediti se
jubilar, umiroviti se
cagar, sranje
descansar, odmoriti se
demorar, odgoditi
firmar, potpisati
llenar, ispuniti
añadir, dodati
cantar, pjevati
olvidar, zaboraviti
acostumbrar, naviknuti
caminar, šetati
trotar, trčati
soler, obično
incluir, uključiti
romper, slomiti
mentir, lagati
preguntar, pitati
suponer, pretpostaviti
complementar, nadopuniti
retomar, nastaviti
alimentar, hraniti
oír, čuti
escuchar, slušati
alejarse, udaljiti se
cubrirse, pokriti se
soñar, sanjati
sonar, zvoniti
pelear, svađati se
contener, sadržavati
continuar, nastaviti
contestar, odgovoriti
preocuparse, brinuti se
celebrar, slaviti
faltar, nedostajati
molestar, smetati
mostrar, pokazati
enfocar, usredotočiti
convivir, suživjeti
acostumbrarse, naviknuti se
quedarse, ostati
adoptar, usvojiti
convertir, pretvoriti
asistir, sudjelovati
conocer, upoznati
parecer, činiti se
medir, mjeriti
recibir, primiti
amar, voljeti
encantar, oduševiti
unirse, pridružiti se
presentir, osjećati
bajar, spustiti
saltar, skakati
pensar, razmišljati
incorporar, uključiti
joder, jebati
volar, letjeti
aprobar, odobriti
formar, oblikovati
ahorrar, uštedjeti
seguir, slijediti
desayunar, doručkovati
emborracharse, napiti se
dar, dati
corregir, ispraviti
tomar, uzeti
pagar, platiti
atentar, pokušati
caer, pasti
viajar, putovati
devolver, vratiti
estudiar, studirati
abandonar, napustiti
dañar, oštetiti
sentirse, osjećati se
ganar, pobijediti
llorar, plakati
beber, piti
resbalar, poskliznuti se
creer, vjerovati
saber, znati
traer, donijeti
usar, koristiti
alquilar, unajmiti
vender, prodati
funcionar, raditi
aplicar, primijeniti
requerir, zahtijevati
reencontrarse, ponovno se susresti
eliminar, ukloniti
borrar, izbrisati
precalentar, zagrijati
necesitar, trebati
mantener, zadržati
visitar, posjetiti
recordar, sjetiti se
buscar, tražiti
divertirse, zabaviti se
entrenar, trenirati
comprender, shvatiti
entender, razumjeti
limpiar, očistiti
dibujar, crtati
pintar, slikati
cortar, rezati
prestar, posuditi
pesar, vagati
mugir, mukati
afeitarse, brijati se
regar, zalijevati
planchar, peglati
comprobar, provjeriti
despertar, probuditi
descubrir, otkriti
cumplir, ostvariti
compartir, podijeliti
tocar, svirati
abrir, otvoriti
acostarse, leći
crear, stvoriti
marcar, označiti
poner, staviti
reírse, smijati se
sacar, izvaditi
leer, čitati
renovar, obnoviti
reservar, rezervirati
pasear, prošetati
deber, dugovati
ofrecer, ponuditi
aprender, naučiti
desparecer, nestati
convencer, uvjeriti
desear, željeti
manejar, upravljati
conducir, voziti
trabajar, raditi
mendigar, prositi
lavar, prati
pedir, tražiti
fumar, pušiti
apreciar, cijeniti
gustar, sviđati se
rescatar, spasiti
vivir, živjeti
dedicar, posvetiti
dedicarse, baviti se
relajar, opustiti se
subir, popeti se
desmaquillarse, skinuti šminku
batirse, boriti se
dormir, spavati
mudarse, preseliti se
perder, izgubiti
llegar, stići
bendecir, blagosloviti
escribir, pisati
bailar, plesati
hacer, raditi
correr, trčati
reconciliarse, pomiriti se
encargar, naručiti
cenar, večerati
despedir, pozdraviti se
exigir, zahtijevati
jugar, igrati
llamarse, zvati se
llamar, nazvati
contar, pričati
comer, jesti
querer, htjeti
irse, otići
contar, brojati
salir, izlaziti
follar, jebati
coger, uzeti
elegir, odabrati
volver, vratiti se
preparar, pripremiti
ver, vidjeti
permanecer, ostati
dejar, ostaviti
terminar, završiti
robar, ukrasti
llevar, nositi
cocinar, kuhati
hablar, govoriti
haber, imati
estar, biti
ser, biti
ir, ići
cambiar, promijeniti
comprar, kupiti
decir, reći
empezar, početi
recorrer, proputovati
tener, imati